"Номер вектора","Номер задачи","amax","Целевой вес"
1,1,1073741824,1734017272
1,2,1073741824,887762957
1,3,1073741824,4376136442
1,4,1073741824,3167858512
1,5,1073741824,1074178515
1,6,1073741824,1177344270
1,7,1073741824,1581784986
1,8,1073741824,4084955001
1,9,1073741824,1823848195
1,10,1073741824,620443286
1,11,1073741824,1688071451
1,12,1073741824,3554183070
1,13,1073741824,1542529130
1,14,1073741824,4040647778
1,15,1073741824,3632379406
1,16,1073741824,3462384180
1,17,1073741824,2809973836
1,18,1073741824,1081086433
1,19,1073741824,1227616611
1,20,1073741824,767691824
1,21,1073741824,919649760
1,22,1073741824,1715680535
1,23,1073741824,3181747093
1,24,1073741824,1049853931
1,25,1073741824,1560371008
1,26,1073741824,1474576396
1,27,1073741824,2379026142
1,28,1073741824,2091773714
1,29,1073741824,2276289609
1,30,1073741824,2172986428
1,31,1073741824,1574148011
1,32,1073741824,4916487104
1,33,1073741824,2906225966
1,34,1073741824,2090179109
1,35,1073741824,120071133
1,36,1073741824,2748606511
1,37,1073741824,3420676430
1,38,1073741824,3041209483
1,39,1073741824,2433064535
1,40,1073741824,896821815
1,41,1073741824,120071133
1,42,1073741824,3376619447
1,43,1073741824,3143443038
1,44,1073741824,667570176
1,45,1073741824,4322915743
1,46,1073741824,809033607
1,47,1073741824,684163341
1,48,1073741824,3785436885
1,49,1073741824,2714643005
1,50,1073741824,997027871
2,51,106528681.309991,334782839
2,52,106528681.309991,101715264
2,53,106528681.309991,52453510
2,54,106528681.309991,239046786
2,55,106528681.309991,60484661
2,56,106528681.309991,103817362
2,57,106528681.309991,73387060
2,58,106528681.309991,47425103
2,59,106528681.309991,400769941
2,60,106528681.309991,240682658
2,61,106528681.309991,25755838
2,62,106528681.309991,5471356
2,63,106528681.309991,20284482
2,64,106528681.309991,253336327
2,65,106528681.309991,39675252
2,66,106528681.309991,80632374
2,67,106528681.309991,19287857
2,68,106528681.309991,99884294
2,69,106528681.309991,286325206
2,70,106528681.309991,252290384
2,71,106528681.309991,241324250
2,72,106528681.309991,322113861
2,73,106528681.309991,195632199
2,74,106528681.309991,258965763
2,75,106528681.309991,408247788
2,76,106528681.309991,66167327
2,77,106528681.309991,159689956
2,78,106528681.309991,218700179
2,79,106528681.309991,185025401
2,80,106528681.309991,243948624
2,81,106528681.309991,482593790
2,82,106528681.309991,144888
2,83,106528681.309991,299563399
2,84,106528681.309991,110043341
2,85,106528681.309991,356116830
2,86,106528681.309991,61078821
2,87,106528681.309991,109612123
2,88,106528681.309991,285395169
2,89,106528681.309991,200358390
2,90,106528681.309991,96000878
2,91,106528681.309991,138562921
2,92,106528681.309991,122713267
2,93,106528681.309991,353350467
2,94,106528681.309991,251334240
2,95,106528681.309991,205982097
2,96,106528681.309991,223688199
2,97,106528681.309991,107638048
2,98,106528681.309991,141052435
2,99,106528681.309991,128200597
2,100,106528681.309991,40323880
3,101,16777216,69594559
3,102,16777216,4117698
3,103,16777216,9617641
3,104,16777216,128325
3,105,16777216,14061760
3,106,16777216,35144707
3,107,16777216,14976628
3,108,16777216,68956562
3,109,16777216,33499162
3,110,16777216,16575893
3,111,16777216,19491618
3,112,16777216,28757320
