"Номер вектора","Номер задачи","amax","Целевой вес"
1,1,1073741824,1723075330
1,2,1073741824,2019522280
1,3,1073741824,1207178469
1,4,1073741824,301148943
1,5,1073741824,2379357779
1,6,1073741824,301148943
1,7,1073741824,3103573294
1,8,1073741824,2724128106
1,9,1073741824,1060911056
1,10,1073741824,987908291
1,11,1073741824,1932716794
1,12,1073741824,2506211933
1,13,1073741824,3754422769
1,14,1073741824,3599236982
1,15,1073741824,816883405
1,16,1073741824,1205169007
1,17,1073741824,3109814461
1,18,1073741824,3063952812
1,19,1073741824,831748405
1,20,1073741824,2499591791
1,21,1073741824,1060911056
1,22,1073741824,2836492117
1,23,1073741824,805666887
1,24,1073741824,410044934
1,25,1073741824,2193622563
1,26,1073741824,695944804
1,27,1073741824,1053133838
1,28,1073741824,5352153260
1,29,1073741824,301148943
1,30,1073741824,3349407739
1,31,1073741824,853343681
1,32,1073741824,1060911056
1,33,1073741824,1927990638
1,34,1073741824,1864795195
1,35,1073741824,465318086
1,36,1073741824,625260662
1,37,1073741824,1996982182
1,38,1073741824,2072047577
1,39,1073741824,3873328993
1,40,1073741824,3757078789
1,41,1073741824,1736219815
1,42,1073741824,3181534042
1,43,1073741824,2029453420
1,44,1073741824,1696006241
1,45,1073741824,1060911056
1,46,1073741824,2265770902
1,47,1073741824,3102554274
1,48,1073741824,2576660369
1,49,1073741824,2651343726
1,50,1073741824,581917807
2,51,106528681.309991,111787172
2,52,106528681.309991,55621973
2,53,106528681.309991,400005973
2,54,106528681.309991,227995615
2,55,106528681.309991,249726932
2,56,106528681.309991,310182362
2,57,106528681.309991,348457566
2,58,106528681.309991,255028434
2,59,106528681.309991,248375651
2,60,106528681.309991,7547289
2,61,106528681.309991,104698908
2,62,106528681.309991,307279058
2,63,106528681.309991,209595129
2,64,106528681.309991,216662597
2,65,106528681.309991,288850185
2,66,106528681.309991,285869849
2,67,106528681.309991,16822471
2,68,106528681.309991,218760364
2,69,106528681.309991,73797972
2,70,106528681.309991,55599893
2,71,106528681.309991,285506821
2,72,106528681.309991,116996682
2,73,106528681.309991,319656804
2,74,106528681.309991,317843237
2,75,106528681.309991,55599893
2,76,106528681.309991,175426251
2,77,106528681.309991,136474719
2,78,106528681.309991,251772751
2,79,106528681.309991,165863650
2,80,106528681.309991,140684470
2,81,106528681.309991,312149205
2,82,106528681.309991,124572603
2,83,106528681.309991,103003887
2,84,106528681.309991,351220308
2,85,106528681.309991,209791738
2,86,106528681.309991,312147813
2,87,106528681.309991,194762592
2,88,106528681.309991,34425696
2,89,106528681.309991,240704710
2,90,106528681.309991,394081944
2,91,106528681.309991,235582835
2,92,106528681.309991,381013978
2,93,106528681.309991,274294039
2,94,106528681.309991,520730949
2,95,106528681.309991,259621692
2,96,106528681.309991,65748495
2,97,106528681.309991,202774981
2,98,106528681.309991,320439640
2,99,106528681.309991,182273047
2,100,106528681.309991,67686419
3,101,16777216,46678653
3,102,16777216,23479133
3,103,16777216,12310256
3,104,16777216,10905554
3,105,16777216,2124860
3,106,16777216,4259079
3,107,16777216,15187506
3,108,16777216,42320542
3,109,16777216,26358022
3,110,16777216,15915239
3,111,16777216,8277535
3,112,16777216,31109994
3,113,16777216,52106488
3,114,16777216,18910772
3,115,16777216,37586020
3,116,16777216,25937866
3,117,16777216,9112483
3,118,16777216,28902660
3,119,16777216,23658311
3,120,16777216,44170585
3,121,16777216,42486625
3,122,16777216,6681002
3,123,16777216,20625748
3,124,16777216,35702196
3,125,16777216,8363889
3,126,16777216,21382886
3,127,16777216,25390271
3,128,16777216,13030428
3,129,16777216,42861939
3,130,16777216,3057033
3,131,16777216,31923408
3,132,16777216,33306595
3,133,16777216,41001369
3,134,16777216,39209810
3,135,16777216,8048107
3,136,16777216,37347794
3,137,16777216,30048636
3,138,16777216,9074579
3,139,16777216,45011314
3,140,16777216,10301727
3,141,16777216,38005337
3,142,16777216,26996385
3,143,16777216,14847819
3,144,16777216,8277535
3,145,16777216,24374192
3,146,16777216,27300493
3,147,16777216,26813808
3,148,16777216,17953541
3,149,16777216,21562885
3,150,16777216,8277535
4,151,3697661.72719483,8052531
4,152,3697661.72719483,9139831
4,153,3697661.72719483,3189919
4,154,3697661.72719483,5198134
4,155,3697661.72719483,3136282
4,156,3697661.72719483,3390645
4,157,3697661.72719483,3118865
4,158,3697661.72719483,6282767
4,159,3697661.72719483,2703057
4,160,3697661.72719483,6624445
4,161,3697661.72719483,10453152
4,162,3697661.72719483,2805576
4,163,3697661.72719483,9568033
4,164,3697661.72719483,6906468
4,165,3697661.72719483,6152515
4,166,3697661.72719483,2538420
4,167,3697661.72719483,4413930
4,168,3697661.72719483,11756577
4,169,3697661.72719483,4275125
4,170,3697661.72719483,10156262
4,171,3697661.72719483,9744851
4,172,3697661.72719483,9604070
4,173,3697661.72719483,12275658
4,174,3697661.72719483,4057225
4,175,3697661.72719483,2805576
4,176,3697661.72719483,2932923
4,177,3697661.72719483,5652643
4,178,3697661.72719483,10583126
4,179,3697661.72719483,8714836
4,180,3697661.72719483,864336
4,181,3697661.72719483,8844379
4,182,3697661.72719483,6044391
4,183,3697661.72719483,864336
4,184,3697661.72719483,5436787
4,185,3697661.72719483,2860953
4,186,3697661.72719483,6896263
4,187,3697661.72719483,5870012
4,188,3697661.72719483,5327480
4,189,3697661.72719483,8755762
4,190,3697661.72719483,5424406
4,191,3697661.72719483,3136282
4,192,3697661.72719483,9420831
4,193,3697661.72719483,8109894
