"Номер вектора","Номер задачи","amax","Целевой вес"
1,1,1073741824,4470397523
1,2,1073741824,6276930509
1,3,1073741824,764873527
1,4,1073741824,3184100621
1,5,1073741824,1359681375
1,6,1073741824,105038835
1,7,1073741824,5032097742
1,8,1073741824,7673598023
1,9,1073741824,5856169186
1,10,1073741824,5766955410
1,11,1073741824,467354960
1,12,1073741824,4922341053
1,13,1073741824,1524923276
1,14,1073741824,380552658
1,15,1073741824,584213344
1,16,1073741824,5591816068
1,17,1073741824,2805184858
1,18,1073741824,295586341
1,19,1073741824,7066016678
1,20,1073741824,2313845690
1,21,1073741824,3229099871
1,22,1073741824,3239194794
1,23,1073741824,2945484692
1,24,1073741824,5097347733
1,25,1073741824,1116597382
1,26,1073741824,1815678532
1,27,1073741824,1228603712
1,28,1073741824,2539188854
1,29,1073741824,3312854756
1,30,1073741824,5660551633
1,31,1073741824,6038661302
1,32,1073741824,1021216978
1,33,1073741824,848051054
1,34,1073741824,4976867415
1,35,1073741824,6460414878
1,36,1073741824,4074497563
1,37,1073741824,1050805005
1,38,1073741824,972589573
1,39,1073741824,2417590894
1,40,1073741824,3056695643
1,41,1073741824,2892877377
1,42,1073741824,4211572684
1,43,1073741824,4737793408
1,44,1073741824,731124395
1,45,1073741824,3464900566
1,46,1073741824,105038835
1,47,1073741824,2342818409
1,48,1073741824,4340954055
1,49,1073741824,1219111847
1,50,1073741824,4094633260
2,51,106528681.309991,505908024
2,52,106528681.309991,601826528
2,53,106528681.309991,205298725
2,54,106528681.309991,82119995
2,55,106528681.309991,144014286
2,56,106528681.309991,414345528
2,57,106528681.309991,55517358
2,58,106528681.309991,505618420
2,59,106528681.309991,387012307
2,60,106528681.309991,233480457
2,61,106528681.309991,526834534
2,62,106528681.309991,485494910
2,63,106528681.309991,272841807
2,64,106528681.309991,356666500
2,65,106528681.309991,521179404
2,66,106528681.309991,106729160
2,67,106528681.309991,465524411
2,68,106528681.309991,171854140
2,69,106528681.309991,783198815
2,70,106528681.309991,78195243
2,71,106528681.309991,461301322
2,72,106528681.309991,77032018
2,73,106528681.309991,504230253
